2019-04-24 21:35:36.643 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.yxc.servie.UserServiceTest], using SpringBootContextLoader
2019-04-24 21:35:36.668 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.yxc.servie.UserServiceTest]: no resource found for suffixes {-context.xml, Context.groovy}.
2019-04-24 21:35:36.672 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.yxc.servie.UserServiceTest]: UserServiceTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2019-04-24 21:35:37.410 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.yxc.SpringBootProjectApplication for test class com.yxc.servie.UserServiceTest
2019-04-24 21:35:37.891 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener]
2019-04-24 21:35:38.027 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@120f102b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@625732, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@51dcb805, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@66498326, org.springframework.test.context.support.DirtiesContextTestExecutionListener@cad498c, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1e6454ec, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@2accdbb5, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@b62d79, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@6631f5ca, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5ace1ed4, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@1613674b, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@27ff5d15]
2019-04-24 21:35:39.190 [main] INFO  com.yxc.servie.UserServiceTest - Starting UserServiceTest on DESKTOP-8NTV36D with PID 212 (started by yangx in C:\work\spring-boot-demo\spring-boot-project)
2019-04-24 21:35:39.191 [main] INFO  com.yxc.servie.UserServiceTest - No active profile set, falling back to default profiles: default
2019-04-24 21:35:41.640 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2019-04-24 21:35:41.647 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data repositories in DEFAULT mode.
2019-04-24 21:35:41.773 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 86ms. Found 0 repository interfaces.
2019-04-24 21:35:43.085 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration' of type [org.springframework.amqp.rabbit.annotation.RabbitBootstrapConfiguration$$EnhancerBySpringCGLIB$$4c60686e] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-24 21:35:43.209 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$85f4aa40] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-04-24 21:35:43.451 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================redissonSingle==============================
2019-04-24 21:35:43.453 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================timeout:3000
2019-04-24 21:35:43.453 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================pingTimeout:30000
2019-04-24 21:35:43.457 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================connectionPoolSize:64
2019-04-24 21:35:43.458 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================idleConnectionTimeout:10000
2019-04-24 21:35:43.461 [main] INFO  com.yxc.common.lock.RedisSessionConfig - =====================connectTimeout:30000
